#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCB4A5
#Date Time: 2026-05-26 15:41:13.217
#Trace: Trace 1
#Start: 0 Hz
#Stop: 1e+06 Hz
#BINs: 8193
#Rate: 2e+06 Hz
#Samples: 16384
#Channel: C1
#Type: Sample
#Window: Flat Top
#Trace: Trace 2
#Start: 0 Hz
#Stop: 1e+06 Hz
#BINs: 8193
#Rate: 2e+06 Hz
#Samples: 16384
#Channel: C2
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.08906 V
#Offset: -0.000338471 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.10738 V
#Offset: 0.000309968 V
#Attenuation: 1 X
#Channel: F1
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Channel: F2
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 55.24 kHz
#Period: 18.10282404 us
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-40.5292296107738,0,-0.9855826883876656,180
122.0703125,-40.83209210164086,-179.7586420626403,-1.295016999127873,0.01397541902445489
244.140625,-44.32070994202285,0.7028574219277106,-4.795005524837798,-179.9703536307309
366.2109375,-54.71151149611526,-177.4240646926728,-15.23163393591287,0.05652885486548134
488.28125,-75.94418614601486,26.24150901577739,-38.04548920008403,-179.7513403623594
610.3515625,-84.07075879982574,-98.32213467147119,-85.49968307595958,30.47455274548229
732.421875,-85.23314387451451,79.68748288086668,-87.08454812811237,-162.4552158447265
854.4921875,-87.83642186936804,-106.6562219511628,-87.58517816780709,3.308593920794875
976.5625,-89.90330825778301,53.97012210254402,-91.15182099689608,177.0282825762154
1098.6328125,-88.2957912432144,-157.7323113339108,-102.665389409862,-22.39542255864385
1220.703125,-87.64990851428443,-1.305304645923209,-104.1452112332432,98.06886695975103
1342.7734375,-89.52184109139384,171.8967387163455,-101.1028124894914,-86.53809309386244
1464.84375,-89.36443606845843,-0.5647766442402713,-112.5061995951616,65.2966775987546
1586.9140625,-89.36013856331488,176.8282820433637,-104.1941092102431,59.17826532113434
1708.984375,-92.83695096418867,14.35329292110743,-98.7561910653549,-168.4286596156866
1831.0546875,-91.05195207202726,-144.834255338988,-95.15508361919159,4.806509253795486
1953.125,-89.55157934689517,29.98707077942446,-92.45715974136246,-169.7453181552365
2075.1953125,-92.352761337489,-137.8954446704832,-92.59913587868736,2.07220829649625
2197.265625,-97.57548592877961,60.9561855547952,-96.81285783312319,173.7797899984667
2319.3359375,-108.380256527624,148.1795865672005,-98.37145960313492,13.68390482318343
